./normal/GSM1112836.count	./normal/GSM916094.count	./cancer/CEMT_19.count	./cancer/CEMT_22.count	./cancer/CEMT_47.count
AC005702.3	5	18	3795	3985	9991
AC005702.4	6	17	2895	3503	10721
AC005703.2	0	2	0	0	0
AC005703.3	0	2	900	0	1310
AC005722.4	0	0	0	0	0
AC005725.1	0	2	99	58	0
AC005730.2	0	3	269	249	600
AC005740.3	8	18	14847	57893	46533
AC005740.4	0	41	1314	1219	185
AC005740.5	13	23	16927	12796	26014
AC005740.6	22	15	6713	3867	8228
AC005741.2	0	0	0	0	0
AC005754.7	1	6	74643	15409	29818
AC005754.8	68	81	172204	14284	57236
AC005757.6	0	25	956	453	584
AC005757.7	0	0	950	4147	2701
AC005758.1	0	4	509	235	517
AC005772.2	0	0	0	0	0
AC005775.2	4	78	73197	43457	120411
AC005776.1	8	258	2330	5436	2114
AC005777.3	0	0	0	0	0
AC005779.1	0	13	57	176	37
AC005779.2	0	5	5425	2228	8352
AC005780.1	0	1	0	0	0
AC005783.1	1	2	0	0	21
AC005785.2	1	158	246223	133616	187275
AC005786.3	3	7	75	124	0
AC005786.5	1	18	290	922	0
AC005786.7	0	0	63674	16522	53926
AC005789.11	10	468	68178	90617	108285
AC005789.9	0	0	5429	3076	5539
AC005794.1	0	0	0	0	0
AC005795.1	197	1142	56825	27186	73607
AC005808.3	0	0	0	0	193
AC005822.1	28	555	74320	40422	117299
AC005831.1	0	52	623	3514	322
AC005838.2	0	0	2248	2247	6375
AC005841.1	0	22	17783	6114	5005
AC005863.1	0	0	150	0	0
AC005863.2	0	0	0	0	135
AC005884.1	7	12	150237	226166	325674
AC005926.1	0	0	0	0	0
AC005932.1	0	36	2573	3547	1391
AC005943.4	4	88	4333	2915	2174
AC005943.5	7	358	112676	51145	178884
AC005944.2	0	0	1264616	644748	1275793
AC005954.3	0	27	1767	2714	1225
AC005954.4	1	4	9216	8315	12929
AC006000.5	0	12	535	110	1538
