symbol  TSC1	TSC2	MSC1	MSC2	NPC1	NPC2	ESC1	ESC2	MES1	MES2
AC004009.3	11	7	0	0	0	0	0	1	0	0
AC004012.1	2	0	0	5	23	12	0	0	0	0
AC004014.3	0	0	0	0	0	0	0	0	0	0
AC004014.4	1558	1740	1559	1502	3219	3246	2864	3370	3326	3326
AC004016.1	0	0	0	0	0	0	0	0	0	0
AC004016.2	0	2	0	0	0	0	0	0	0	0
AC004017.1	42	56	46	51	69	91	56	55	34	34
AC004019.10	0	2	0	0	49	64	12	23	9	9
AC004019.13	43	17	7	20	7	7	27	26	17	17
AC004019.18	0	0	0	0	0	0	0	0	0	0
AC004022.7	0	0	0	0	0	0	0	2	0	0
AC004022.8	0	0	0	0	0	0	0	0	0	0
AC004041.2	19	16	9	8	40	28	29	10	24	24
AC004051.2	11	18	10	2	0	0	14	18	17	17
AC004052.1	0	0	0	0	0	0	0	0	0	0
AC004053.1	0	0	0	3	4	6	0	0	0	0
AC004054.1	0	0	0	0	0	0	0	0	0	0
AC004057.1	659	749	732	794	622	669	1098	1318	1487	1487
AC004062.2	0	0	0	0	0	0	1	0	0	0
AC004063.1	0	0	0	1	2	1	0	2	0	0
AC004066.2	16	17	18	10	299	251	107	125	128	128
AC004066.3	0	0	0	0	0	0	0	0	0	0
AC004067.5	44	38	37	43	114	141	74	70	47	47
AC004069.1	598	759	293	279	854	912	766	778	982	982
AC004069.2	973	1047	12	14	146	109	13	2	5	5
AC004070.1	0	0	0	0	0	0	0	0	0	0
AC004074.3	3141	3680	3156	3260	3348	3666	2695	3629	3578	3578
AC004074.4	0	0	0	0	0	0	0	0	0	0
AC004076.7	6	4	0	2	22	22	9	5	2	2
AC004076.9	6	16	5	12	68	51	12	16	3	3
AC004079.1	0	0	0	0	0	0	0	2	1	1
AC004112.4	17	24	15	15	30	33	46	41	30	30
AC004112.5	0	3	0	0	0	0	0	0	2	2
AC004112.7	0	0	0	0	0	1	0	0	0	0
AC004125.3	0	0	0	0	0	1	0	2	0	0
AC004129.7	0	0	0	0	0	0	1	0	0	0
AC004129.9	1	3	5	1	2	4	0	3	0	0
AC004156.3	10	13	24	16	12	11	18	17	12	12
AC004158.2	134	113	32	33	278	278	228	210	207	207
AC004158.3	2	0	2	0	13	12	7	0	2	2
AC004159.1	0	0	3	10	0	0	0	0	0	0
AC004160.4	15	3	9	5	7	16	1	0	0	0
AC004166.6	21	27	74	72	107	99	111	88	100	100
AC004221.2	23	26	27	43	207	201	91	109	38	38
AC004231.2	19	26	6	0	24	37	0	0	0	0
AC004237.1	22	36	33	14	55	89	15	14	8	8
AC004257.1	2	0	0	0	20	17	28	37	9	9
AC004257.3	569	684	490	477	1265	1437	756	859	429	429
AC004381.6	454	563	188	189	1405	1624	805	733	608	608
AC004381.7	2	2	3	0	1	1	1	0	1	1
AC004383.3	2	1	6	6	42	38	27	25	23	23
AC004386.3	0	0	0	0	0	0	0	0	0	0
AC004386.4	5838	6922	8541	9269	13976	13007	9057	9720	12007	12007
AC004410.3	2	5	0	1	1	3	3	3	0	0
AC004447.2	632	695	1141	991	2205	2113	1816	1675	778	778
AC004448.2	5	5	0	0	10	3	4	5	15	15
AC004448.5	19	14	4	0	8	6	16	13	555	555
AC004449.6	27	21	1	2	89	86	43	19	30	30
AC004453.8	37219	46953	62691	64874	116500	114837	57862	62669	82505	82505
AC004458.1	0	0	0	0	0	0	0	0	0	0
AC004460.1	0	0	0	0	0	0	0	0	0	0
AC004461.4	13	3	9	1	8	10	4	7	6	6
AC004463.6	218	203	59	69	714	682	758	758	518	518
AC004466.1	27	38	29	22	19	17	16	6	40	40
AC004471.10	5	7	1	8	120	118	23	50	31	31
AC004471.9	38	27	19	11	135	86	18	38	32	32
AC004485.3	0	0	0	0	1	0	9	17	18	18
AC004490.1	4	6	2	1	0	12	3	2	4	4
AC004492.1	0	0	0	0	1	0	0	1	0	0
AC004510.3	4	9	2	0	0	0	4	5	2	2
AC004520.1	0	0	0	0	0	0	0	0	0	0
AC004528.1	1	0	0	0	0	2	0	0	0	0
AC004528.4	10	12	3	0	36	45	11	12	0	0
AC004535.2	0	0	0	0	0	0	0	0	0	0
AC004538.3	49	44	56	61	80	132	16	30	42	42
AC004540.4	18	17	2	3	683	725	97	106	17	17
AC004540.5	52	40	53	27	2654	2766	398	350	140	140
AC004543.1	0	0	0	0	0	0	0	0	0	0
AC004543.2	0	0	0	3	6	4	112	74	25	25
AC004549.6	5	16	3	0	16	10	11	19	7	7
AC004552.1	0	0	0	0	10	0	0	0	0	0
AC004562.1	0	0	3	0	1	1	0	0	2	2
AC004593.3	34	26	0	0	22	11	1	0	0	0
AC004595.1	0	0	0	0	0	0	0	0	0	0
AC004603.4	0	2	0	0	0	0	6	0	0	0
AC004609.1	0	0	0	0	0	0	0	0	0	0
AC004623.2	0	0	0	0	0	0	0	0	0	0
AC004637.1	13	23	0	0	0	8	12	2	7	7
AC004655.1	0	0	0	0	0	0	2	6	4	4
AC004656.1	0	0	0	1	0	0	1	0	0	0
